customer_id,arrival_time,service_time,service_start,departure_time,waiting_time,time_in_system,queue_length_on_arrival
82,151.235668,8.057541,151.235668,159.293209,0.0,8.057541,0
83,152.480451,0.615337,159.293209,159.908546,6.812758,7.428096,0
84,153.181727,0.254018,159.908546,160.162565,6.726819,6.980838,1
85,153.236868,1.379399,160.162565,161.541964,6.925697,8.305096,2
86,155.41719,1.030322,161.541964,162.572286,6.124774,7.155096,3
87,155.918278,0.859549,162.572286,163.431835,6.654008,7.513557,4
88,160.688147,1.113962,163.431835,164.545797,2.743688,3.85765,2
89,161.894242,0.517305,164.545797,165.063102,2.651555,3.168859,2
90,163.153377,0.831057,165.063102,165.894159,1.909725,2.740782,2
91,164.950947,0.444275,165.894159,166.338434,0.943212,1.387487,1
92,165.014552,1.596016,166.338434,167.93445,1.323882,2.919898,2
93,165.358009,0.580821,167.93445,168.515272,2.576441,3.157262,2
94,165.411245,4.562033,168.515272,173.077305,3.104027,7.66606,3
95,165.705378,0.130057,173.077305,173.207362,7.371927,7.501984,4
96,170.383537,3.262412,173.207362,176.469774,2.823825,6.086237,1
97,173.889388,1.809953,176.469774,178.279727,2.580386,4.390339,0
98,174.00933,1.945203,178.279727,180.22493,4.270397,6.2156,1
99,175.214455,3.629543,180.22493,183.854473,5.010475,8.640018,2
100,175.74882,2.594034,183.854473,186.448508,8.105654,10.699688,3
101,180.294993,1.300923,186.448508,187.749431,6.153515,7.454438,1
102,181.22545,0.265565,187.749431,188.014996,6.523981,6.789547,2
103,181.946426,2.687073,188.014996,190.702069,6.06857,8.755643,3
104,183.641305,1.831,190.702069,192.533069,7.060764,8.891765,4
105,183.666216,1.071055,192.533069,193.604125,8.866854,9.937909,5
106,183.786837,1.079044,193.604125,194.683168,9.817287,10.896331,6
107,187.457923,2.021854,194.683168,196.705022,7.225245,9.2471,5
108,188.353962,3.228593,196.705022,199.933616,8.351061,11.579654,4
109,188.39067,1.320071,199.933616,201.253687,11.542946,12.863017,5
110,192.200292,0.315367,201.253687,201.569054,9.053395,9.368762,5
111,192.313128,0.833672,201.569054,202.402725,9.255926,10.089598,6
112,195.256758,1.467658,202.402725,203.870383,7.145967,8.613625,4
113,195.920863,0.824965,203.870383,204.695348,7.949521,8.774485,5
114,197.303798,3.291577,204.695348,207.986925,7.39155,10.683127,5
115,197.631864,1.132074,207.986925,209.119,10.355062,11.487136,6
116,198.088165,3.150533,209.119,212.269532,11.030834,14.181367,7
117,200.915238,3.047378,212.269532,215.31691,11.354295,14.401673,7
118,201.564926,2.667999,215.31691,217.984909,13.751985,16.419984,7
119,201.778998,3.506684,217.984909,221.491593,16.205912,19.712595,7
120,206.192696,0.479052,221.491593,221.970645,15.298897,15.777949,5
121,206.993484,0.382475,221.970645,222.353121,14.977162,15.359637,6
122,207.449614,0.460539,222.353121,222.81366,14.903507,15.364046,7
123,208.836625,5.531981,222.81366,228.345642,13.977036,19.509017,7
124,209.500318,0.391036,228.345642,228.736678,18.845324,19.23636,7
