customer_index,cross_replication_avg_wait,smoothed_avg_wait
265,3.745459,5.397361
266,3.693214,5.313721
267,3.508169,5.268291
268,3.242853,5.219017
269,4.015987,5.196987
270,4.96019,5.130148
271,5.027954,5.079087
272,6.036049,5.073649
273,5.831297,5.085483
274,4.907907,5.057962
275,4.463024,5.054844
276,3.678218,4.98551
277,4.04106,4.931037
278,4.645799,4.861772
279,4.213415,4.752783
280,3.733351,4.64959
281,3.152694,4.518591
282,2.123637,4.393813
283,2.377776,4.269499
284,2.39223,4.141913
285,2.813756,4.02819
286,2.255695,3.896411
287,2.090439,3.791046
288,2.710592,3.7261
289,3.579421,3.729607
290,3.465772,3.71842
291,2.967071,3.689374
292,3.448781,3.686999
293,2.916499,3.673945
294,2.557387,3.615601
295,3.851967,3.571272
296,2.715208,3.478762
297,2.350175,3.331327
298,2.457681,3.196382
299,3.034698,3.121454
300,3.565494,3.085553
301,4.379953,3.113622
302,5.029892,3.153175
303,4.975526,3.166364
304,5.239049,3.20739
305,5.133254,3.263386
306,5.386063,3.352721
307,5.465706,3.486403
308,5.141563,3.596955
309,4.221294,3.670117
310,3.753214,3.707696
311,4.042429,3.779165
312,3.429504,3.832728
313,3.448327,3.862237
314,4.233397,3.888396
315,3.710446,3.898183
316,4.317709,3.952209
317,4.546413,3.996114
318,3.863525,4.033995
319,4.752414,4.121796
320,4.008142,4.128043
321,4.528416,4.200571
322,4.478073,4.285687
323,3.8154,4.339996
324,4.122607,4.383512
325,5.01199,4.441372
326,5.018206,4.466902
327,4.534488,4.447086
328,4.338634,4.421611
329,4.632754,4.397359
330,3.874622,4.347013
331,4.130692,4.296799
332,4.619048,4.262932
333,4.525682,4.238297
334,5.36303,4.283966
335,5.324075,4.346801
336,5.612016,4.409584
337,6.181313,4.519657
338,6.685532,4.649145
339,5.557591,4.702113
340,6.395008,4.809495
341,6.340427,4.890404
342,6.016882,4.949223
343,5.37948,5.009861
344,5.857589,5.054068
345,5.6824,5.121038
346,5.090868,5.143536
347,4.555323,5.146626
348,6.44332,5.251743
349,6.443337,5.344572
350,5.68226,5.371383
351,5.286824,5.382128
352,5.708381,5.429083
353,5.085011,5.458939
354,4.434972,5.451027
355,5.220842,5.504876
356,3.903974,5.495807
357,3.044631,5.432831
358,2.369731,5.346593
359,2.025483,5.213091
360,2.007502,5.080428
361,3.445332,4.99376
362,3.8481,4.900432
363,3.694156,4.780777
364,4.901113,4.754518
365,3.858646,4.653063
366,3.303385,4.531582
367,4.045453,4.452725
368,4.298737,4.409495
369,4.538612,4.356736
370,4.174599,4.296424
371,3.190213,4.220398
372,3.634758,4.183575
373,3.910093,4.082246
374,4.372217,3.999401
375,5.164551,3.978693
376,5.658265,3.99355
377,6.712289,4.033707
378,5.86473,4.064895
379,6.375227,4.142506
380,7.248268,4.223603
381,6.751414,4.3375
382,6.952823,4.493828
383,7.240045,4.68864
384,8.29522,4.93943
385,8.194004,5.18689
386,8.255431,5.379294
387,9.069476,5.588149
388,8.213916,5.768939
389,7.340105,5.866499
390,8.184473,6.039532
391,7.922098,6.224281
392,8.867366,6.417157
393,8.971164,6.604054
394,9.077337,6.785603
395,8.031144,6.939865
396,8.088717,7.135805
397,8.741297,7.340067
398,8.818912,7.53642
399,9.159081,7.727894
400,9.933818,7.918665
401,9.757228,8.082623
402,9.388944,8.18969
403,10.275196,8.366108
404,9.275092,8.482103
405,8.954699,8.55036
406,10.478216,8.699432
407,10.552055,8.843401
408,10.218662,8.962546
409,9.864833,9.025331
410,9.421387,9.074426
411,10.530662,9.165435
412,11.215641,9.251282
413,10.64784,9.348639
414,9.964712,9.453623
415,8.982547,9.485546
416,7.755299,9.478874
417,7.732513,9.43348
418,8.07716,9.39772
419,8.565806,9.377258
420,10.331087,9.469256
421,10.719715,9.574496
422,11.031687,9.666112
423,11.751535,9.783417
424,12.985433,9.936471
425,13.053322,10.061251
426,11.822633,10.143867
427,11.300938,10.220347
428,10.719826,10.238132
429,10.692855,10.294842
430,10.95307,10.374777
431,9.671906,10.342525
432,9.267774,10.291154
433,9.6564,10.268663
434,9.647779,10.259981
435,8.92946,10.240304
436,8.053865,10.141232
437,5.899477,9.928586
438,5.058389,9.705008
439,6.100923,9.550456
440,6.856125,9.465399
441,6.630749,9.420417
442,6.35365,9.365263
443,7.038397,9.323712
444,7.03945,9.262658
445,7.087447,9.132912
446,7.580987,9.007363
447,7.994282,8.885867
